;Rg;An;E;Tleaf;irr;psi_soil;psi_collar;psi_leaf;theta_soil
1990-07-08 19:00:00;98.92106869668636;37.639912008170086;1378.0421437954558;39.582264849813306;0.0;-0.8733384409966007;-0.9311964089711174;-1.5320601230912145;0.16001002586086754
1990-07-08 20:00:00;0.02320408972700394;-13.500054695385533;385.75858106315394;38.30089829255907;0.0;-0.8779599901245267;-0.89498359179824;-1.0574466497571287;0.15990388184657403
1990-07-08 21:00:00;0.02320408972700394;-7.080377000827124;31.69411155064368;22.232389221874996;0.0;-0.8792594398698533;-0.881703398590002;-0.9041488643371707;0.1598741686912325
1990-07-08 22:00:00;0.02320408972700394;-7.08037700142883;31.6941102425803;22.232389222844365;0.0;-0.8793663150994658;-0.8818105889186387;-0.9042564400235885;0.15987172744379763
1990-07-08 23:00:00;0.02320408972700394;-7.080377002030915;31.69410893397636;22.232389223814884;0.0;-0.8794732073182933;-0.8819177963489204;-0.9043640328729745;0.15986928619642943
1990-07-09 00:00:00;0.02320408972700394;-7.080377002030915;31.69410893397636;22.232389223814884;0.0;-0.8794732073182933;-0.8819177963489204;-0.9043640328729745;0.15986928619642943
1990-07-09 01:00:00;0.02320408972700394;-7.047621911007495;32.59950380952454;22.167056819114112;0.0;-0.8795801165296742;-0.8820623195298268;-0.9047887129473405;0.15986684494912795
1990-07-09 02:00:00;0.02320408972700394;-7.047621911672222;32.5995024250633;22.16705682019183;0.0;-0.8796900975160303;-0.8821726342368296;-0.904899348973504;0.15986433396350613
1990-07-09 03:00:00;0.02320408972700394;-7.047621912331539;32.59950103980708;22.16705682127038;0.0;-0.8798000964868208;-0.8822829670507528;-0.9050100031589319;0.15986182297795487
1990-07-09 04:00:00;0.02320408972700394;-7.047621913002683;32.59949965437211;22.167056822347874;0.0;-0.8799101134456807;-0.8823933179753061;-0.9051206755081163;0.15985931199247433
1990-07-09 05:00:00;0.02320408972700394;-7.047621913668317;32.5994982681404;22.167056823425888;0.0;-0.8800201483962474;-0.8825036870141537;-0.9052313660239603;0.1598568010070645
1990-07-09 06:00:00;0.02320408972700394;-7.047621914334069;32.59949688131527;22.167056824506158;0.0;-0.8801302013421578;-0.8826140741709921;-0.9053420747104288;0.1598542900217254
1990-07-09 07:00:00;306.1442739210529;110.39904881934808;968.3830276963029;28.82520276839346;0.0;-0.8802402722870498;-0.9216992638043106;-1.2972383876959346;0.15985177903645714
1990-07-09 08:00:00;382.9916325623862;119.43359693839452;1304.518752040181;31.42094662691459;0.0;-0.8835182085998122;-0.9395658319259208;-1.4555246735985192;0.15977718904937654
1990-07-09 09:00:00;373.94704286202;105.57446510386008;1466.5607195474968;33.73679214522926;0.0;-0.8879592401248398;-0.9515559430667604;-1.5500407930785396;0.15967670805940304
1990-07-09 10:00:00;355.4046949924986;95.48781846749668;1623.1942564464753;35.854877663426336;0.0;-0.8929868509476152;-0.9641588516164462;-1.6342858987228774;0.15956374566485762
1990-07-09 11:00:00;351.0748753562834;90.95965843462614;1775.3504160088169;37.67444856013162;0.0;-0.8985949323233722;-0.9774316124462192;-1.7127142222612155;0.15943871842911844
1990-07-09 12:00:00;347.350313268599;85.31795980953845;1881.4871123436237;39.19119730273967;0.0;-0.9047815792913191;-0.9895130495121983;-1.7877867530848137;0.15930197119964845
1990-07-09 13:00:00;344.216884612061;76.46647461450964;1900.2418973681192;40.39422685244932;0.0;-0.911399043697359;-0.9982474085790478;-1.8182007280630519;0.15915704862613758
1990-07-09 14:00:00;338.2829673986392;68.69876428504534;1890.8906680875257;41.223909981212174;0.0;-0.9181468831312496;-1.0058657779992732;-1.8284416001884498;0.15901068133748889
