Label,X,Y,Z,LWP,Rg,gs,An,Tleaf,Node
LI_1,37.39,-4.45,143.02,-1.054179810648144,14.106573416400067,0.028908140750111434,0.08025807858050271,34.516666758945625,_ProxyNode(4742)
LII_1,36.56,-4.06,153.97,-1.1512890273774934,15.782635096853587,0.02885854311744761,0.20659102874564184,34.409110466082645,_ProxyNode(4741)
LII_2,36.46,-9.62,158.21,-1.1519628030716345,32.670243032421496,0.048874879101884525,1.195813130672569,34.129488253129175,_ProxyNode(4739)
LII_3,41.56,-11.82,157.6,-1.1528138027975723,334.22276690678837,0.2625894455557743,11.950428344644877,32.49134451967646,_ProxyNode(4737)
LI_2,33.93,4.63,151.76,-1.150614651223382,5.862250182958727,0.01757511912494853,-0.3712504515464907,34.49655619117367,_ProxyNode(4735)
LII_1,38.71,4.48,164.9,-1.2772860812899975,586.6603433020099,0.21505944594181298,10.879754595832708,34.790288999850056,_ProxyNode(4727)
LII_2,31.07,-4.19,159.5,-1.2787828503899945,61.35592766890067,0.0711756483436922,2.8469130457254757,33.96923111771233,_ProxyNode(4726)
LII_3,35.89,5.15,153.34,-1.280290188956322,92.71143993643368,0.1003933838826145,4.644649995935332,33.663494417671586,_ProxyNode(4724)
LII_4,32.27,-9.02,150.09,-1.2816083655000972,35.4694961436629,0.045559547536626874,1.4318581195822802,34.01938014700538,_ProxyNode(4722)
LII_5,31.25,10.57,146.01,-1.2833902385151907,128.28380914818098,0.13025770352466248,6.406754779950006,33.28795445843948,_ProxyNode(4720)
LII_6,31.15,-13.07,141.92,-1.2843979379807502,97.33849046707134,0.10472732764289974,4.91263299294846,33.206324115633215,_ProxyNode(4712)
LI_3,43.77,-6.53,165.68,-1.276172227140563,496.0272292565618,0.22377660313645925,11.514455676923063,33.45697830324163,_ProxyNode(4711)
LII_1,36.04,8.66,150.83,-1.4317944164098315,17.02904867179538,0.023658779021201844,0.2899170337201973,34.50596779232313,_ProxyNode(4709)
LII_2,29.68,5.44,147.04,-1.4375939307846168,22.176284969393453,0.027561319636890094,0.6097414929739315,34.3482526649376,_ProxyNode(4707)
LII_3,27.17,-5.66,145.94,-1.4432766606672855,24.72899086521376,0.02935769527341009,0.7476527846480678,34.39286791989023,_ProxyNode(4705)
LII_4,21.92,5.42,143.99,-1.4495208162971749,510.18511406247586,0.16042876887704557,9.864888618525725,34.86267280608159,_ProxyNode(4703)
LII_5,18.18,-12.12,142.82,-1.4547787142658912,184.52991557164518,0.13528862727328578,8.3783817447915,33.41379248789082,_ProxyNode(4694)
LII_6,10.04,-8.38,141.08,-1.4604877727643863,417.01143097142915,0.16327821519768834,10.27205243192401,34.16188382402412,_ProxyNode(4693)
LII_7,19.57,-20.87,140.83,-1.4631820725520606,461.2761493544858,0.16492098043359174,10.38990084340702,34.3112186590082,_ProxyNode(4691)
LII_8,14.39,-14.39,138.66,-1.4640791189103806,289.77049731350473,0.16246447921087082,10.364907107310074,33.401974423026786,_ProxyNode(4689)
LI_4,29.56,13.83,148.9,-1.4263205115011408,24.13977697171932,0.029417537715905186,0.7041755651836894,34.24373572875869,_ProxyNode(4687)
LII_1,38.42,11.93,145.24,-1.5048869796732856,34.23326702251414,0.03422648423129767,1.2397219589874204,34.426868978072825,_ProxyNode(4685)
LII_2,33.77,11.34,147.96,-1.5120041609169745,25.69390963549525,0.028045663609143814,0.7765756070447267,34.359100891119034,_ProxyNode(4676)
LII_3,39.05,8.67,148.59,-1.518806016264599,23.21965867209672,0.02619735971226819,0.6595850499886566,34.34275392604636,_ProxyNode(4675)
LII_4,29.37,9.39,152.82,-1.5263492191790915,248.0224594837663,0.13798565382756875,9.372224667866902,33.84964941097103,_ProxyNode(4673)
LII_5,33.63,-9.53,147.79,-1.53189823406366,39.58165947630377,0.03710674469908947,1.6170871760805916,34.04076824912052,_ProxyNode(4671)
LII_6,29.03,-5.31,151.01,-1.5392389381743548,161.2453317055441,0.10994222015970448,7.43698844527378,32.984149761413256,_ProxyNode(4669)
LII_7,34.08,-19.65,152.37,-1.543201751630626,296.24187567011336,0.14169761572753978,9.858451169111078,33.560270083878365,_ProxyNode(4667)
LII_8,32.1,-17.33,157.78,-1.5457079665975302,433.8012135557863,0.146568793013701,10.24186851977899,33.51314248070743,_ProxyNode(4658)
LI_5,42.41,19.03,138.62,-1.4996926015020313,345.166785664007,0.14620271865129758,9.609984864807984,34.102306400617046,_ProxyNode(4657)
LII_1,39.97,17.6,140.33,-1.544583938952052,30.557817416588993,0.030374842879947597,1.077975327180468,34.52970458751277,_ProxyNode(4655)
LII_2,37.83,13.2,138.25,-1.5484388542851129,43.82025684984604,0.03911285380947747,1.8300785899882506,34.30602815716592,_ProxyNode(4653)
LII_3,34.24,12.95,134.45,-1.5520231692072222,33.4999154219135,0.03213797172467834,1.2479179785736,34.290935670944705,_ProxyNode(4651)
LII_4,29.62,14.2,136.07,-1.556009713207637,82.34314350955265,0.0634464168669024,3.844911084272578,33.93825887740278,_ProxyNode(4649)
LII_5,31.24,5.86,129.26,-1.558963851682426,29.77418284788229,0.029463761093356907,1.0345050446140256,34.307474132299895,_ProxyNode(4640)
LII_6,19.86,8.11,130.85,-1.5639294402815151,437.6612838671454,0.13013153818804957,9.084338433889144,34.90275292977197,_ProxyNode(4639)
LII_7,28.31,-12.32,131.38,-1.5628940813347896,52.872378975487784,0.04434475199296232,2.309162806009269,34.14198410838615,_ProxyNode(4637)
LI_6,35.67,27.89,135.01,-1.5445698896519846,236.1352680861789,0.13591590027525488,9.487497055680478,33.324047623167296,_ProxyNode(4635)
