;Rg;An;E;Tleaf;irr;psi_soil;psi_collar;psi_leaf;theta_soil
1990-07-06 00:00:00;0.016080609801089548;-1.8861300214260635;10.451118734592761;15.82648459898564;0.0;-0.6;-0.6019556874994954;-0.6187534657361768;0.1680192138953549
1990-07-06 01:00:00;0.016080609801089548;-1.9016608332137996;9.651895112318337;15.961532488937657;0.0;-0.600037333254124;-0.6019267530181809;-0.6185131734241842;0.1680178084193938
1990-07-06 02:00:00;0.016080609801089548;-1.9016608332626364;9.65189500457058;15.96153248914153;0.0;-0.6000718142357807;-0.601961345691512;-0.6185477965675579;0.16801651042373825
1990-07-06 03:00:00;0.016080609801089548;-1.9016608333114762;9.651894896799126;15.961532489345439;0.0;-0.6001062978064974;-0.6019959409733382;-0.618582422321719;0.16801521242808312
1990-07-06 04:00:00;0.016080609801089548;-1.9016608333603477;9.651894789004366;15.961532489549636;0.0;-0.6001407839665159;-0.6020305388639031;-0.6186170506869111;0.16801391443242833
1990-07-06 05:00:00;0.016080609801089548;-1.901660833409231;9.651894681186171;15.961532489753377;0.0;-0.6001752727160756;-0.6020651393634515;-0.6186516816633785;0.16801261643677395
1990-07-06 06:00:00;0.016080609801089548;-1.901660833458092;9.65189457334359;15.961532489957392;0.0;-0.6002097640554168;-0.6020997424722262;-0.6186863152513655;0.16801131844111994
1990-07-06 07:00:00;266.5390377047645;50.07930935723223;382.9692867131866;22.87544149809403;0.0;-0.6002442579847801;-0.6334264295802685;-0.7647787856643078;0.16801002044546642
1990-07-06 08:00:00;326.72796554166547;57.42592846355855;569.9817271190005;25.511158132863237;0.0;-0.6016150063707026;-0.6508914957497743;-0.8446058283255747;0.16795851837242043
1990-07-06 09:00:00;308.0602284925923;54.061588993875915;672.3673478072532;27.843128824497;0.0;-0.6036627066250055;-0.6621691918411841;-0.8911481051764261;0.1678818666479515
1990-07-06 10:00:00;275.4229500235335;50.27353350989627;755.2786980712247;29.923259392704594;0.0;-0.6060899601868235;-0.6724045916096635;-0.9258897622648918;0.16779144593785913
1990-07-06 11:00:00;245.97743607526996;47.255436699358704;824.5861202562257;31.672792538449983;0.0;-0.6088317583090104;-0.6820050600058574;-0.9588480409060947;0.16768987513620143
1990-07-06 12:00:00;219.07641427826903;44.44433463274239;875.3322771472;33.0758631739588;0.0;-0.6118436937828707;-0.6904470484836416;-0.9880589534191577;0.1675789836905851
1990-07-06 13:00:00;203.28775498498044;42.37823091096254;914.8673688444584;34.144647385438404;0.0;-0.6150623315282074;-0.698268094282217;-1.0051832994435412;0.16746126772337344
1990-07-06 14:00:00;207.452163887496;42.9692633899392;966.741294407096;34.833588138006974;0.0;-0.6184500333583065;-0.7075644134193694;-1.0372627939775865;0.16733823489814786
1990-07-06 15:00:00;213.01623972867722;43.94590915375424;994.7345188305032;35.053876134239964;0.0;-0.6220563705716412;-0.7150630089276954;-1.0519004593459726;0.1672082258509457
1990-07-06 16:00:00;211.21101344630733;43.97410082344646;980.6674838797717;34.82646212238786;0.0;-0.6257958781621615;-0.7188215632010866;-1.0489568737079413;0.16707445208385457
1990-07-06 17:00:00;203.90905915281445;43.643190225576156;940.2338492526837;34.310229221588116;0.0;-0.6295113165179094;-0.7199738862456977;-1.0385158928487872;0.16694256993742138
1990-07-06 18:00:00;183.0822734841282;41.51537714615968;849.6362541855841;33.39314128048562;0.0;-0.633100683520818;-0.7159574669953443;-1.0072684999927537;0.1668161252575927
1990-07-06 19:00:00;125.35712625173977;31.40463815303385;643.4541015637733;32.15282899243507;0.0;-0.6363672331388255;-0.6999398291315566;-0.9221152919069587;0.1667018642289796
1990-07-06 20:00:00;10.771057462897685;-0.7507024300465691;144.38765265474618;30.730305230753206;0.0;-0.6388557581282273;-0.6539740120237659;-0.712455783897431;0.16661533097966744
1990-07-06 21:00:00;0.016080609801089548;-1.9016608936601638;9.651761772239343;15.961532741339663;0.0;-0.6394159163997436;-0.6414400217180032;-0.6580607074439124;0.16659591337408414
1990-07-06 22:00:00;0.016080609801089548;-1.9016608937221613;9.65176163538732;15.9615327415991;0.0;-0.6394533837228551;-0.6414776244308065;-0.6580983432639054;0.16659461538138814
1990-07-06 23:00:00;0.016080609801089548;-1.9016608937842716;9.651761498507197;15.961532741857798;0.0;-0.6394908539151043;-0.6415152300368101;-0.65813598197964;0.16659331738869734
1990-07-07 00:00:00;0.016080609801089548;-1.9016608937842716;9.651761498507197;15.961532741857798;0.0;-0.6394908539151043;-0.6415152300368101;-0.65813598197964;0.16659331738869734
1990-07-07 01:00:00;0.016080609801089548;-1.9266619370566929;10.64829774648393;16.15525358255963;0.0;-0.639528326976764;-0.6416498759654756;-0.6585388190551513;0.1665920193960117
1990-07-07 02:00:00;0.016080609801089548;-1.9266619371318234;10.648297578053151;16.155253582745658;0.0;-0.6395696724305319;-0.6416913863005338;-0.658580369769375;0.16659058738665883
1990-07-07 03:00:00;0.016080609801089548;-1.9266619372068114;10.64829740957924;16.15525358293204;0.0;-0.6396110213775157;-0.6417329001611389;-0.658621924012565;0.1665891553773125
1990-07-07 04:00:00;0.016080609801089548;-1.9266619372819227;10.648297241066906;16.15525358311817;0.0;-0.6396523738180816;-0.6417744175476625;-0.6586634817850938;0.16658772336797273
1990-07-07 05:00:00;0.016080609801089548;-1.926661937357069;10.648297072514284;16.1552535833043;0.0;-0.6396937297525936;-0.6418159384604774;-0.6587050430873344;0.1665862913586395
1990-07-07 06:00:00;0.016080609801089548;-1.9266619374321543;10.648296903919924;16.155253583490556;0.0;-0.6397350891814174;-0.6418574628999539;-0.6587466079196582;0.16658485934931283
1990-07-07 07:00:00;267.27212089937683;50.15703768261916;387.18384144641783;23.026254250671336;0.0;-0.6397764521049175;-0.6787836695353144;-0.8136608614877061;0.16658342733999276
1990-07-07 08:00:00;327.1850550787295;57.40154071913861;569.5876981801446;25.6521422986458;0.0;-0.6412828310740315;-0.6986634970044372;-0.8952539437261138;0.166531357887861
1990-07-07 09:00:00;308.9181540619284;53.99162810042476;667.721151370028;27.975310020942395;0.0;-0.6435073089080744;-0.7112720897129472;-0.9418646939306787;0.16645475826991957
1990-07-07 10:00:00;275.84782879067274;50.1194755865377;746.092482329256;30.058810212255025;0.0;-0.6461278988783352;-0.7225796403387966;-0.9766759702632627;0.16636496135459664
1990-07-07 11:00:00;246.68490144098402;47.085387840216285;811.116608847096;31.8003852124861;0.0;-0.6490725974853734;-0.7331175218461287;-1.0098581240881401;0.16626462478020776
1990-07-07 12:00:00;219.30057930970338;44.145538571201186;856.9979676698418;33.21229210609939;0.0;-0.6522938693964789;-0.7421866460849569;-1.0383721624970605;0.16615554349358147
1990-07-07 13:00:00;203.3431420493995;42.0634570949764;893.3370210637826;34.28082969412543;0.0;-0.6557200965800272;-0.7506514252192912;-1.0554606414135301;0.16604029185074065
1990-07-07 14:00:00;207.54288495340643;42.59711539137196;941.4977701791462;34.975688993025514;0.0;-0.6593166906497818;-0.7607497796556437;-1.0876460739039262;0.1659201531152794
1990-07-07 15:00:00;213.25535990775418;43.55290102385793;967.4827957027819;35.186819440468085;0.0;-0.6631351425080393;-0.7688796608198583;-1.1020334429495948;0.1657935374537588
1990-07-07 16:00:00;211.4299407279043;43.614707644080006;954.0054669940674;34.96294232603633;0.0;-0.6670891550989249;-0.7728910056156357;-1.0993403073894465;0.1656634271155321
1990-07-07 17:00:00;204.19907364628915;43.34144414799519;916.3217248805064;34.452548337409;0.0;-0.6710183198128363;-0.7740998562717702;-1.0897323223304147;0.16553512912891513
1990-07-07 18:00:00;183.02863391911086;41.27915046305077;829.8423786225804;33.53258420221779;0.0;-0.6748208131144511;-0.7694409360054879;-1.0585882512631495;0.16541189886747712
1990-07-07 19:00:00;124.81854256410351;31.17259583174011;631.3949340592858;32.28342881132512;0.0;-0.6782887819822091;-0.7511974451986352;-0.9730656004091993;0.16530029856388379
1990-07-07 20:00:00;10.385332021427313;-0.9184399622128724;143.6349121020327;30.859288167401917;0.0;-0.6809430471565916;-0.6983816371649909;-0.7572790355187258;0.16521538615226072
1990-07-07 21:00:00;0.016080609801089548;-1.926662019414879;10.648112931605022;16.15525378691122;0.0;-0.6815487562467475;-0.6838473116445598;-0.7007767610034744;0.16519606957112165
1990-07-07 22:00:00;0.016080609801089548;-1.92666201950961;10.648112719224352;16.155253787146584;0.0;-0.6815936874274284;-0.6838924427996003;-0.7008219360405565;0.1651946375714069
1990-07-07 23:00:00;0.016080609801089548;-1.9266620196042115;10.648112506791087;16.15525378738168;0.0;-0.6816386224796781;-0.683937577866252;-0.7008671149930409;0.16519320557170558
1990-07-08 00:00:00;0.016080609801089548;-1.9266620196042115;10.648112506791087;16.15525378738168;0.0;-0.6816386224796781;-0.683937577866252;-0.7008671149930409;0.16519320557170558
1990-07-08 01:00:00;0.016080609801089548;-1.936235921022083;11.146455619441067;16.226858246366362;0.0;-0.6816835614039073;-0.6840394396000133;-0.7011176842300706;0.16519177357201778
1990-07-08 02:00:00;0.016080609801089548;-1.936235921124837;11.146455385220634;16.226858246742296;0.0;-0.6817306076675527;-0.6840867051072954;-0.7011650130885874;0.16519027455318885
1990-07-08 03:00:00;0.016080609801089548;-1.936235921227653;11.146455150943181;16.226858247118564;0.0;-0.6817776581750055;-0.6841339749043458;-0.7012123462426079;0.1651887755343749
1990-07-08 04:00:00;0.016080609801089548;-1.9362359213304123;11.146454916606288;16.22685824749405;0.0;-0.6818247129267385;-0.6841812489916475;-0.7012596836926165;0.16518727651557588
1990-07-08 05:00:00;0.016080609801089548;-1.9362359214332894;11.146454682213335;16.226858247870226;0.0;-0.6818717719232251;-0.6842285273696862;-0.7013070254390981;0.1651857774967918
1990-07-08 06:00:00;0.016080609801089548;-1.93623592153624;11.146454447763483;16.22685824824683;0.0;-0.6819188351649392;-0.6842758100389447;-0.7013543714825379;0.1651842784780227
1990-07-08 07:00:00;261.1200054619052;49.43299870685648;376.7443517170847;23.039113761295912;0.0;-0.681965902652354;-0.7262846548912878;-0.8596182874556233;0.16518277945926857
1990-07-08 08:00:00;321.30144862862767;56.79172754806686;552.7384387906483;25.65893284892813;0.0;-0.6835592600175916;-0.7486541661473307;-0.9428570992981956;0.16513211339681544
1990-07-08 09:00:00;303.3024392096669;53.333830917927855;645.5981362274596;27.983042586540755;0.0;-0.6859057653267169;-0.7625303518613975;-0.9890675310815911;0.16505777892307064
1990-07-08 10:00:00;270.7648546653269;49.43172875742495;718.9281785028886;30.0564101761095;0.0;-0.688659833168536;-0.7748336131035398;-1.023925211068458;0.16497095625494917
1990-07-08 11:00:00;242.11644944020998;46.39216092280405;779.4842034006682;31.799897414728935;0.0;-0.691743759406467;-0.7862317398427783;-1.0566622813463664;0.1648742717992125
1990-07-08 12:00:00;217.2864918128878;44.11628810498342;829.8511697981696;33.20833997205641;0.0;-0.695107880402903;-0.7969464258229773;-1.0886854077632848;0.16476944344032457
1990-07-08 13:00:00;202.3415085246018;42.02130967980085;863.7673024757512;34.27299896492619;0.0;-0.6987129231114153;-0.8061115618504295;-1.1059869271211276;0.16465784142977213
1990-07-08 14:00:00;205.92241099680388;42.4344506059376;907.449413270499;34.96884489383338;0.0;-0.7024913120788269;-0.8168881777062337;-1.1369030414658028;0.16454167813440507
1990-07-08 15:00:00;210.51304909385692;43.252889362662444;929.7651541096637;35.1940015874919;0.0;-0.7064896064034714;-0.8253988844061521;-1.150911307096382;0.16441964016918567
1990-07-08 16:00:00;207.74159204728608;43.1985869609742;914.9004663332944;34.95953341557046;0.0;-0.7106171414805441;-0.8293303542488044;-1.148073070451649;0.1642946009707762
1990-07-08 17:00:00;199.07110023864752;42.68581476319439;875.858646334821;34.45187782393754;0.0;-0.7147095175137197;-0.8299677356309381;-1.1365931723080014;0.16417156073769035
1990-07-08 18:00:00;176.97344295042504;40.35350550754357;791.0167990797063;33.543077790763704;0.0;-0.7186561754379901;-0.8241366347911024;-1.1037376247603508;0.1640537709373754
