"","File","Site","Climate","Orientation","Traits","LWP_mean","LWP_min","LWP_max","LWP_mean_sunlit","PCanopy_TLP","TL_mean","TL_min","TL_max","TL_mean_sunlit","PCanopy_T40","Source","Tair","Date_ref1","Date_ref2","PCanopy_Tair","Tmean_Diff","Tmax_Diff"
"890","mtg19900810150000.pckl.csv","oakville","rcp45","north_south","low_gsp50","-1.97784873371012","-2.20875927858874","-1.81216366379632",NA,"1","33.3957792508741","32.0545718471159","35.1309651162018","35.1309651162018","0","oak45","33.95","1990-08-10 15:00:00","1990-08-10 15:00:00","0.0476923076923077","-0.554220749125861","1.18096511620179"
"891","mtg19900811150000.pckl.csv","oakville","rcp45","north_south","low_gsp50","-2.04411480819305","-2.26225295040321","-1.88844038034432",NA,"1","33.2004219984877","31.9901718876265","34.9190981008342","34.9190981008342","0","oak45","33.7","1990-08-11 15:00:00","1990-08-11 15:00:00","0.0507692307692308","-0.499578001512326","1.21909810083417"
"892","mtg19900812150000.pckl.csv","oakville","rcp45","north_south","low_gsp50","-2.11818506883267","-2.32592274827078","-1.96987576965551",NA,"1","33.3830009756121","32.1909165170607","35.2415646372593","35.2415646372593","0","oak45","33.86","1990-08-12 15:00:00","1990-08-12 15:00:00","0.0584615384615385","-0.476999024387915","1.38156463725928"
"893","mtg19900813150000.pckl.csv","oakville","rcp45","north_south","low_gsp50","-1.86179150638653","-2.11148407437577","-1.68237635296105",NA,"0.987692307692308","33.4401260417432","32.0087647768756","35.0071401907258","35.0071401907258","0","oak45","34.08","1990-08-13 15:00:00","1990-08-13 15:00:00","0.0276923076923077","-0.639873958256786","0.927140190725765"
"894","mtg19900814150000.pckl.csv","oakville","rcp45","north_south","low_gsp50","-1.93581667430895","-2.17353471842316","-1.76556165966983",NA,"1","33.3725778121445","32.0401847215591","34.9889261905729","34.9889261905729","0","oak45","33.95","1990-08-14 15:00:00","1990-08-14 15:00:00","0.0384615384615385","-0.577422187855461","1.03892619057288"
"895","mtg19900706150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.06587571404194","-1.3222977382837","-0.845304392348417",NA,"0","34.9466865864156","33.2505550899204","35.9217121697455","35.9217121697455","0","oak85","35.84","1990-07-06 15:00:00","1990-07-06 15:00:00","0.00462962962962963","-0.893313413584409","0.081712169745515"
"896","mtg19900707150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.11547028663355","-1.36574274579726","-0.898133117573742",NA,"0","35.0854176938334","33.4219080858871","36.1304900113105","36.1304900113105","0","oak85","35.95","1990-07-07 15:00:00","1990-07-07 15:00:00","0.00462962962962963","-0.864582306166639","0.180490011310489"
"897","mtg19900708150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.16389673508534","-1.40582642239982","-0.952428429089648",NA,"0","35.0918232513843","33.5142506162494","36.136799208664","36.136799208664","0","oak85","35.92","1990-07-08 15:00:00","1990-07-08 15:00:00","0.00462962962962963","-0.828176748615718","0.216799208664035"
"898","mtg19900709150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.21168806084938","-1.44466946771545","-1.00700025287326",NA,"0","35.105028711624","33.5386040814301","36.3327553291042","36.3327553291042","0","oak85","35.91","1990-07-09 15:00:00","1990-07-09 15:00:00","0.00617283950617284","-0.804971288375995","0.422755329104156"
"899","mtg19900710150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.24939233441939","-1.4699542239807","-1.0565926313048",NA,"0","34.5247215406916","33.1077546401654","35.8124038789157","35.8124038789157","0","oak85","35.24","1990-07-10 15:00:00","1990-07-10 15:00:00","0.0169753086419753","-0.715278459308372","0.572403878915701"
"900","mtg19900711150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.29460034483202","-1.50519243514833","-1.11052686310173",NA,"0","34.2155133260316","32.9219687939713","35.5260178626797","35.5260178626797","0","oak85","34.86","1990-07-11 15:00:00","1990-07-11 15:00:00","0.0200617283950617","-0.644486673968423","0.666017862679738"
"901","mtg19900712150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.35742538725095","-1.56224523809562","-1.17575452113682",NA,"0","34.7719089507708","33.4499893591296","36.204551933877","36.204551933877","0","oak85","35.42","1990-07-12 15:00:00","1990-07-12 15:00:00","0.0231481481481481","-0.64809104922923","0.784551933876955"
"902","mtg19900713150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.18086281740249","-1.41626541581818","-0.975374108436301",NA,"0","34.8672366963252","33.3427584919305","35.9480648804885","35.9480648804885","0","oak85","35.67","1990-07-13 15:00:00","1990-07-13 15:00:00","0.00462962962962963","-0.802763303674759","0.278064880488529"
"903","mtg19900714150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.22363570013759","-1.44862949034041","-1.02706137117024",NA,"0","34.6499900397386","33.2417152927983","35.7248401273769","35.7248401273769","0","oak85","35.4","1990-07-14 15:00:00","1990-07-14 15:00:00","0.00462962962962963","-0.750009960261373","0.324840127376881"
"904","mtg19900715150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.26460418775385","-1.4786930959522","-1.0776248978252",NA,"0","34.3267756686381","33.0343362800438","35.4629140975751","35.4629140975751","0","oak85","35","1990-07-15 15:00:00","1990-07-15 15:00:00","0.0108024691358025","-0.673224331361894","0.462914097575123"
"905","mtg19900716150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.31803856479968","-1.52528593770639","-1.13599556717389",NA,"0","34.4372719350027","33.1741860853518","35.69662766932","35.69662766932","0","oak85","35.08","1990-07-16 15:00:00","1990-07-16 15:00:00","0.0200617283950617","-0.642728064997307","0.616627669319953"
"906","mtg19900717150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.37340588500682","-1.57388441347886","-1.19628694259661",NA,"0","34.6083622604489","33.3728536418102","35.9820779839418","35.9820779839418","0","oak85","35.22","1990-07-17 15:00:00","1990-07-17 15:00:00","0.0231481481481481","-0.6116377395511","0.762077983941808"
"907","mtg19900718150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.42679666680796","-1.61794635382516","-1.25603826208583",NA,"0","34.7996189281436","33.5909658410025","36.2912401405585","36.2912401405585","0","oak85","35.39","1990-07-18 15:00:00","1990-07-18 15:00:00","0.0277777777777778","-0.590381071856427","0.901240140558521"
"908","mtg19900719150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.47949076299039","-1.66203730694484","-1.31546484175119",NA,"0","34.778434033863","33.6320742076988","36.389583825419","36.389583825419","0","oak85","35.32","1990-07-19 15:00:00","1990-07-19 15:00:00","0.0308641975308642","-0.541565966137036","1.06958382541899"
"909","mtg19900720150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.28881045575927","-1.4983995071217","-1.10516163448673",NA,"0","34.3118778637833","33.0388275596075","35.5246667394088","35.5246667394088","0","oak85","34.97","1990-07-20 15:00:00","1990-07-20 15:00:00","0.0169753086419753","-0.658122136216662","0.554666739408773"
"910","mtg19900721150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.34635325352016","-1.54985684832726","-1.16629179091192",NA,"0","34.5854783002032","33.3664393322591","35.8010229942943","35.8010229942943","0","oak85","35.21","1990-07-21 15:00:00","1990-07-21 15:00:00","0.0200617283950617","-0.624521699796773","0.591022994294327"
"911","mtg19900722150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.39958801122128","-1.59498627108475","-1.2256406282083",NA,"0","34.6731367385608","33.4779797079659","35.9976877555664","35.9976877555664","0","oak85","35.28","1990-07-22 15:00:00","1990-07-22 15:00:00","0.0231481481481481","-0.606863261439244","0.717687755566402"
"912","mtg19900723150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.45472301067145","-1.64228993614185","-1.28689681439963",NA,"0","34.7587844376974","33.6553588714846","36.072354734849","36.072354734849","0","oak85","35.32","1990-07-23 15:00:00","1990-07-23 15:00:00","0.0262345679012346","-0.561215562302642","0.752354734849021"
"913","mtg19900724150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.50874998246619","-1.68797977168068","-1.34741094757893",NA,"0","34.7825119748328","33.7076605609358","36.2288087676327","36.2288087676327","0","oak85","35.32","1990-07-24 15:00:00","1990-07-24 15:00:00","0.029320987654321","-0.537488025167164","0.908808767632706"
"914","mtg19900725150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.56968127861206","-1.74152093679722","-1.41279266040469",NA,"0.058641975308642","35.1077606828336","34.0557796807914","36.6839986526214","36.6839986526214","0","oak85","35.62","1990-07-25 15:00:00","1990-07-25 15:00:00","0.0339506172839506","-0.512239317166369","1.06399865262144"
"915","mtg19900726150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.62832884277016","-1.79222644074079","-1.47711464416698",NA,"0.217592592592593","35.3936777909066","34.3752551932299","37.0351116004743","37.0351116004743","0","oak85","35.89","1990-07-26 15:00:00","1990-07-26 15:00:00","0.037037037037037","-0.496322209093435","1.14511160047429"
"916","mtg19900727150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.43628418453903","-1.62863902792121","-1.26304629820196",NA,"0","35.0906607930568","33.912145055009","36.3686080026465","36.3686080026465","0","oak85","35.7","1990-07-27 15:00:00","1990-07-27 15:00:00","0.0200617283950617","-0.609339206943204","0.668608002646479"
"917","mtg19900728150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.48532879720414","-1.66855840177785","-1.32038521155388",NA,"0","34.8152697413164","33.7370410136168","36.1672484921155","36.1672484921155","0","oak85","35.36","1990-07-28 15:00:00","1990-07-28 15:00:00","0.0277777777777778","-0.544730258683643","0.80724849211547"
"918","mtg19900729150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.54545403113154","-1.72110681054396","-1.38511032938712",NA,"0.037037037037037","35.131877613212","34.0390705179007","36.6717910681871","36.6717910681871","0","oak85","35.67","1990-07-29 15:00:00","1990-07-29 15:00:00","0.029320987654321","-0.53812238678799","1.00179106818711"
"919","mtg19900730150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.60628142158908","-1.77438336798364","-1.45077336003503",NA,"0.16820987654321","35.4826889502182","34.4311712102483","37.0661693505854","37.0661693505854","0","oak85","36","1990-07-30 15:00:00","1990-07-30 15:00:00","0.0339506172839506","-0.517311049781775","1.06616935058536"
"920","mtg19900731150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.66580198690584","-1.82562833433212","-1.51559555579567",NA,"0.302469135802469","35.6906435786658","34.6481799221339","37.4794594635859","37.4794594635859","0","oak85","36.18","1990-07-31 15:00:00","1990-07-31 15:00:00","0.0416666666666667","-0.489356421334151","1.29945946358587"
"921","mtg19900801150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.71758621614144","-1.86954894759793","-1.57474287708183",NA,"0.555555555555556","35.4267711712101","34.463536031133","37.2740006274784","37.2740006274784","0","oak85","35.87","1990-08-01 15:00:00","1990-08-01 15:00:00","0.0555555555555556","-0.443228828789906","1.40400062747836"
"922","mtg19900802150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.76837375664393","-1.91258179459671","-1.63246834597838",NA,"0.824074074074074","35.2466267606529","34.3365721559183","37.1872580918958","37.1872580918958","0","oak85","35.65","1990-08-02 15:00:00","1990-08-02 15:00:00","0.0709876543209877","-0.40337323934714","1.53725809189584"
"923","mtg19900803150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.57525845342955","-1.74738189439935","-1.41729454665536",NA,"0.0848765432098765","35.1228987276642","34.0771446601617","36.6174767478567","36.6174767478567","0","oak85","35.64","1990-08-03 15:00:00","1990-08-03 15:00:00","0.0308641975308642","-0.517101272335807","0.977476747856734"
"924","mtg19900804150000.pckl.csv","oakville","rcp85","north_south","baseline","-1.63453781132018","-1.79894184233271","-1.48212538430513",NA,"0.229938271604938","35.4555362713588","34.4408795352225","36.965721747721","36.965721747721","0","oak85","35.97","1990-08-04 15:00:00","1990-08-04 15:00:00","0.0308641975308642","-0.514463728641154","0.995721747721049"
"925","mtg19900706150000.pckl.csv","oakville","rcp85","north_south","elite","-0.766448850277471","-0.850832201057691","-0.689151037312022",NA,"0","35.5813705141062","34.7140233040868","38.2876157746761","38.2876157746761","0","oak85","35.84","1990-07-06 15:00:00","1990-07-06 15:00:00","0.152777777777778","-0.25862948589382","2.44761577467607"
"926","mtg19900707150000.pckl.csv","oakville","rcp85","north_south","elite","-0.782062111737702","-0.865893753176598","-0.70488786678534",NA,"0","35.692604894425","34.8235097253532","38.417367513705","38.417367513705","0","oak85","35.95","1990-07-07 15:00:00","1990-07-07 15:00:00","0.155864197530864","-0.257395105575021","2.46736751370503"
"927","mtg19900708150000.pckl.csv","oakville","rcp85","north_south","elite","-0.796863159500968","-0.879477066777002","-0.720488224549793",NA,"0","35.6646854209141","34.8613982966602","38.2750400932035","38.2750400932035","0","oak85","35.92","1990-07-08 15:00:00","1990-07-08 15:00:00","0.155864197530864","-0.255314579085884","2.35504009320353"
"928","mtg19900709150000.pckl.csv","oakville","rcp85","north_south","elite","-0.811236427540386","-0.892762587053839","-0.73577104843334",NA,"0","35.6557924630706","34.8258383571997","38.3992127115082","38.3992127115082","0","oak85","35.91","1990-07-09 15:00:00","1990-07-09 15:00:00","0.158950617283951","-0.254207536929371","2.48921271150817"
"929","mtg19900710150000.pckl.csv","oakville","rcp85","north_south","elite","-0.820849981660037","-0.899342874962898","-0.748591576793181",NA,"0","35.0165493178181","34.265600862889","37.6826840441159","37.6826840441159","0","oak85","35.24","1990-07-10 15:00:00","1990-07-10 15:00:00","0.165123456790123","-0.22345068218187","2.44268404411588"
"930","mtg19900711150000.pckl.csv","oakville","rcp85","north_south","elite","-0.832741467694424","-0.909148670902956","-0.762468532855734",NA,"0","34.6565598989691","33.9520657993485","37.2098728960455","37.2098728960455","0","oak85","34.86","1990-07-11 15:00:00","1990-07-11 15:00:00","0.169753086419753","-0.203440101030928","2.3498728960455"
"931","mtg19900712150000.pckl.csv","oakville","rcp85","north_south","elite","-0.851501638610893","-0.928431108014323","-0.780103391449921",NA,"0","35.1976350313281","34.461556095126","37.8247588878533","37.8247588878533","0","oak85","35.42","1990-07-12 15:00:00","1990-07-12 15:00:00","0.165123456790123","-0.222364968671947","2.40475888785332"
"932","mtg19900713150000.pckl.csv","oakville","rcp85","north_south","elite","-0.803799687082745","-0.88473302512518","-0.729043537017679",NA,"0","35.4224812724168","34.6606859965185","38.0346473697792","38.0346473697792","0","oak85","35.67","1990-07-13 15:00:00","1990-07-13 15:00:00","0.157407407407407","-0.247518727583177","2.3646473697792"
"933","mtg19900714150000.pckl.csv","oakville","rcp85","north_south","elite","-0.815971999381861","-0.89500678616836","-0.743078797687717",NA,"0","35.163284822263","34.4536219319518","37.6194201069831","37.6194201069831","0","oak85","35.4","1990-07-14 15:00:00","1990-07-14 15:00:00","0.158950617283951","-0.236715177736983","2.21942010698309"
"934","mtg19900715150000.pckl.csv","oakville","rcp85","north_south","elite","-0.826522525086142","-0.902983413608096","-0.75607618074632",NA,"0","34.7876525627629","34.1101566592882","37.2059539042403","37.2059539042403","0","oak85","35","1990-07-15 15:00:00","1990-07-15 15:00:00","0.165123456790123","-0.212347437237057","2.20595390424033"
"935","mtg19900716150000.pckl.csv","oakville","rcp85","north_south","elite","-0.841736738352599","-0.917611973106376","-0.771554452632377",NA,"0","34.8686799737401","34.1822953266145","37.3350818563761","37.3350818563761","0","oak85","35.08","1990-07-16 15:00:00","1990-07-16 15:00:00","0.165123456790123","-0.211320026259862","2.25508185637612"
"936","mtg19900717150000.pckl.csv","oakville","rcp85","north_south","elite","-0.857125589186378","-0.932331048371419","-0.78726867598551",NA,"0","35.0081095879009","34.310181448607","37.518266254922","37.518266254922","0","oak85","35.22","1990-07-17 15:00:00","1990-07-17 15:00:00","0.166666666666667","-0.211890412099052","2.29826625492204"
"937","mtg19900718150000.pckl.csv","oakville","rcp85","north_south","elite","-0.872451575466071","-0.946847469793138","-0.803040830556119",NA,"0","35.1750502182647","34.4719825598897","37.7203299261241","37.7203299261241","0","oak85","35.39","1990-07-18 15:00:00","1990-07-18 15:00:00","0.16820987654321","-0.214949781735349","2.33032992612411"
"938","mtg19900719150000.pckl.csv","oakville","rcp85","north_south","elite","-0.886786717870066","-0.960005556698343","-0.818336643492753",NA,"0","35.1145859866619","34.4145614662021","37.6745311673082","37.6745311673082","0","oak85","35.32","1990-07-19 15:00:00","1990-07-19 15:00:00","0.169753086419753","-0.205414013338114","2.35453116730815"
"939","mtg19900720150000.pckl.csv","oakville","rcp85","north_south","elite","-0.835645657409479","-0.911193582538356","-0.765795815957956",NA,"0","34.7593237477478","34.0708441351952","37.2250516310707","37.2250516310707","0","oak85","34.97","1990-07-20 15:00:00","1990-07-20 15:00:00","0.165123456790123","-0.210676252252163","2.25505163107071"
"940","mtg19900721150000.pckl.csv","oakville","rcp85","north_south","elite","-0.852173745002047","-0.92759788198499","-0.782014634109177",NA,"0","34.9955236560764","34.3263453254926","37.3683765268835","37.3683765268835","0","oak85","35.21","1990-07-21 15:00:00","1990-07-21 15:00:00","0.162037037037037","-0.214476343923629","2.15837652688351"
"941","mtg19900722150000.pckl.csv","oakville","rcp85","north_south","elite","-0.867402162515352","-0.942010757373976","-0.797736869126006",NA,"0","35.0623977529415","34.3857009089853","37.4778817248914","37.4778817248914","0","oak85","35.28","1990-07-22 15:00:00","1990-07-22 15:00:00","0.16358024691358","-0.217602247058544","2.19788172489142"
"942","mtg19900723150000.pckl.csv","oakville","rcp85","north_south","elite","-0.882858229154547","-0.956626373446606","-0.813785519828289",NA,"0","35.1069473510241","34.4677240044086","37.3860773984765","37.3860773984765","0","oak85","35.32","1990-07-23 15:00:00","1990-07-23 15:00:00","0.166666666666667","-0.213052648975932","2.06607739847646"
"943","mtg19900724150000.pckl.csv","oakville","rcp85","north_south","elite","-0.898267186102568","-0.971106753462888","-0.829847013141806",NA,"0","35.1058697828949","34.4586845853932","37.4384049888443","37.4384049888443","0","oak85","35.32","1990-07-24 15:00:00","1990-07-24 15:00:00","0.16820987654321","-0.21413021710508","2.11840498884428"
"944","mtg19900725150000.pckl.csv","oakville","rcp85","north_south","elite","-0.91615243947649","-0.988829981105601","-0.847407920305853",NA,"0","35.4029328727036","34.7473030078814","37.7540958169208","37.7540958169208","0","oak85","35.62","1990-07-25 15:00:00","1990-07-25 15:00:00","0.165123456790123","-0.217067127296403","2.13409581692085"
"945","mtg19900726150000.pckl.csv","oakville","rcp85","north_south","elite","-0.93368100852661","-1.005842993948","-0.865068828478692",NA,"0","35.6636583081361","35.0158225682391","37.9802651949486","37.9802651949486","0","oak85","35.89","1990-07-26 15:00:00","1990-07-26 15:00:00","0.16358024691358","-0.226341691863944","2.09026519494856"
"946","mtg19900727150000.pckl.csv","oakville","rcp85","north_south","elite","-0.881925733923419","-0.956792606353121","-0.811376100681517",NA,"0","35.4676152711831","34.800921257299","37.7795425256716","37.7795425256716","0","oak85","35.7","1990-07-27 15:00:00","1990-07-27 15:00:00","0.158950617283951","-0.232384728816911","2.07954252567162"
"947","mtg19900728150000.pckl.csv","oakville","rcp85","north_south","elite","-0.895022561068406","-0.968150091913866","-0.82618777961151",NA,"0","35.1472705555439","34.5080697065284","37.4120397860059","37.4120397860059","0","oak85","35.36","1990-07-28 15:00:00","1990-07-28 15:00:00","0.166666666666667","-0.212729444456102","2.05203978600587"
