"","Site","Climate","Orientation","Stomatal","TotalE_L","TotalAn_g","TotalIrr_L","NumHours","WUE","EPercent","AnPercent","WUEPercent","IrrPercent"
"1","fresno","historical","north_south","baseline",546849.579806204,18518.1395450094,410.51497344103,"697",0.0338633149385833,0,0,0,0
"2","fresno","historical","north_south","elite",249978.840653687,12280.169277276,186.835306247536,"697",0.0491248349066814,-54.2874585837158,-33.6857288096985,45.0680035187857,-54.4875782041664
"3","fresno","historical","north_south","high_gmax",596496.522526941,19012.5380053941,448.185304001861,"697",0.0318736778629508,9.07872010038506,2.66980632251441,-5.87549411285037,9.1763596940374
"4","fresno","historical","north_south","high_gsp50",436899.367042567,16919.4109667198,327.776597336014,"697",0.0387261054673749,-20.1061163478633,-8.63331099975674,14.3600546420548,-20.1547766726958
"5","fresno","historical","north_south","low_gmax",393147.606960791,16161.9150343291,294.293569685114,"697",0.0411090255877888,-28.1068100847555,-12.7238727462516,21.3969325281558,-28.3111241428593
"6","fresno","historical","north_south","low_gsp50",614577.503523318,19234.0986211161,461.447792755845,"697",0.0312964573399591,12.3851103151832,3.86625813228441,-7.58005411838608,12.4070551892138
"7","fresno","rcp45","north_south","baseline",649599.824085522,20325.7351158876,488.246718041744,"697",0.0312896253389558,18.7894894818665,9.76121584182222,-7.600229346404,18.9351788922944
"8","fresno","rcp45","north_south","elite",322369.919329794,14305.8056529872,240.475898798036,"697",0.0443769867943291,-41.0496174388508,-22.7470685258845,31.0473793685412,-41.4209190027072
"9","fresno","rcp45","north_south","high_gmax",696243.470447194,20491.8295985967,523.898057183615,"697",0.0294319881886072,27.3190098626268,10.6581444037082,-13.0859213222716,27.6197193959047
"10","fresno","rcp45","north_south","high_gsp50",524483.318949475,18957.1327914051,393.40215057157,"697",0.0361443960303174,-4.09002067161783,2.3706120440917,6.73614232945378,-4.16862330891768
"11","fresno","rcp45","north_south","low_gmax",493337.352867547,18430.058424212,369.20584092251,"697",0.0373579221542549,-9.78554778402151,-0.475647786233136,10.3197434214863,-10.0627590200322
"12","fresno","rcp45","north_south","low_gsp50",724615.360156065,20480.0626670679,545.20501484713,"697",0.0282633570763073,32.5072537155206,10.5946016730781,-16.5369452826233,32.8100191515787
"13","fresno","rcp85","north_south","baseline",592895.002733325,28331.4637636143,444.643752068045,"697",0.0477849596184864,8.42012586778231,52.9930352601192,41.111287259243,8.31365013094158
"14","fresno","rcp85","north_south","elite",287966.726494346,21226.5081166029,214.201946279448,"697",0.0737116693133631,-47.3407794157221,14.625489590953,117.674109717408,-47.8211611907944
"15","fresno","rcp85","north_south","high_gmax",640290.743518215,28404.2676142676,480.84746039418,"697",0.0443615152988067,17.0871784787922,53.3861840992687,31.0016912970973,17.1327458201115
"16","fresno","rcp85","north_south","high_gsp50",476014.569330807,26828.344146947,356.330217402856,"697",0.0563603424673807,-12.9532897328914,44.8760232189588,66.4348058351627,-13.1992155082639
"17","fresno","rcp85","north_south","low_gmax",436945.89932877,25986.3975259282,326.188352096366,"697",0.0594728033055079,-20.0976071914296,40.3294184211474,75.6260525981338,-20.5416676127107
"18","fresno","rcp85","north_south","low_gsp50",660940.043807324,28266.3834952306,496.169746863221,"697",0.0427669404510627,20.8632260523181,52.6415946187658,26.2928349709048,20.8652007755559
"19","oakville","historical","north_south","baseline",154108.977457631,8570.80750860573,89.112557204109,"697",0.055615238320312,0,0,0,0
"20","oakville","historical","north_south","elite",54854.0240418095,5963.68248323662,31.6037431173724,"697",0.108719142987416,-64.4056920325161,-30.4186626843662,95.4844504329111,-64.5350283855224
"21","oakville","historical","north_south","high_gmax",174385.647251342,8775.87696985267,100.956494817717,"697",0.050324537071586,13.1573579477455,2.39265041293991,-9.5130424835269,13.2909861249744
"22","oakville","historical","north_south","high_gsp50",124994.268122201,8167.87743292079,72.3153854027201,"697",0.0653460159063889,-18.8922863649747,-4.7011915187731,17.4966032331522,-18.8493881540349
"23","oakville","historical","north_south","low_gmax",93417.0730675456,7464.45265558669,53.8420665353061,"697",0.0799045871431819,-39.3824586934083,-12.9084085940348,43.6739094472224,-39.5797088260156
"24","oakville","historical","north_south","low_gsp50",168843.349680607,8724.4987862117,97.5617805475924,"697",0.0516721493781983,9.56100836307665,1.79319483551172,-7.08994344212586,9.48151821536305
"25","oakville","rcp45","north_south","baseline",230314.870755745,11646.1398550695,134.250297696124,"697",0.0505661654275921,49.4493536686175,35.8814772514247,-9.0785781832671,50.6525027540492
"26","oakville","rcp45","north_south","elite",95808.0121095654,8329.1477625466,55.588598022491,"697",0.0869358165267164,-37.8309987580666,-2.81956800239052,56.3165404884464,-37.6197925785393
"27","oakville","rcp45","north_south","high_gmax",250383.902445146,11836.9973290011,146.103295838125,"697",0.0472753927605004,62.4719770228725,38.1083091309176,-14.9956123747574,63.9536563892795
"28","oakville","rcp45","north_south","high_gsp50",185930.92522596,10971.9021184481,108.313889931261,"697",0.0590106358321729,20.6489902751303,28.0148003257743,6.10515681386714,21.5472805736817
"29","oakville","rcp45","north_south","low_gmax",159953.543251762,10469.8923629448,92.9024123452069,"697",0.0654558326755257,3.79248885467288,22.1575954474797,17.6940612904283,4.25288563139018
"30","oakville","rcp45","north_south","low_gsp50",255996.36033974,11923.2531795264,149.247860440665,"697",0.0465758699213642,66.1138530428059,39.114700307463,-16.2534022544077,67.4824122697078
"31","oakville","rcp85","north_south","baseline",224528.994937641,15287.2544175912,130.866345005429,"697",0.0680858809430692,45.6949482384117,78.36422533398,22.4230678486594,46.8551112338573
