;Rg;An;E;Tleaf;irr;psi_soil;psi_collar;psi_leaf;theta_soil
1990-07-15 00:00:00;0.0;-7.787596059935483;113.00429561166528;23.0381457340593;0.0;-0.6;-0.6035525924938345;-0.6534677061365233;0.1680192138953549
1990-07-15 01:00:00;0.0;-7.2850605162785165;99.21323104634861;21.964935188816987;0.0;-0.6002312424564047;-0.6034903223083432;-0.6486352041284043;0.16801051020423322
1990-07-15 02:00:00;0.0;-6.761507052835818;85.32516267698959;20.785697295348225;0.0;-0.6004343600644811;-0.6033974681289774;-0.6436243396015411;0.1680028687126191
1990-07-15 03:00:00;0.0;-6.3075850629720245;70.43208565233202;19.694314814451076;0.0;-0.6006091167093092;-0.6032544147782715;-0.6381594140018427;0.1679962968920367
1990-07-15 04:00:00;0.0;-5.949889531613143;57.87724207715307;18.801231700895435;0.0;-0.6007534205448419;-0.6031307189609915;-0.6337085753540308;0.16799087214933656
1990-07-15 05:00:00;0.6231212460698944;-5.357453681637857;53.43733314812704;18.26802744748864;0.0;-0.6008720354729148;-0.6031546846039586;-0.6322349875794936;0.16798641439181694
1990-07-15 06:00:00;41.643349737473706;12.641979006143814;124.17958422066688;18.954665515185496;0.0;-0.6009815783267007;-0.6047791988680988;-0.6583108340999795;0.1679822985999503
1990-07-15 07:00:00;174.64156419997872;46.94952057688575;411.75921688084105;21.574386891508112;0.0;-0.6012362387342204;-0.6112124758208016;-0.7586917404074304;0.16797273417519615
1990-07-15 08:00:00;284.04674996559527;58.81881076392651;683.2470089426695;24.236268865418737;0.0;-0.6020816607579309;-0.6179417548204433;-0.867848704706432;0.1679410200995669
1990-07-15 09:00:00;331.6818611037381;58.11064747201263;864.3450422372179;26.584407283935697;0.0;-0.6034879310879594;-0.6233366907889328;-0.9431724016126674;0.16788839576464462
1990-07-15 10:00:00;349.5758250931439;57.64819980866062;1025.9151141107484;28.563625451221398;0.0;-0.6052730967352223;-0.6287400499348512;-1.0153623292522103;0.16782182305381457
1990-07-15 11:00:00;349.9918870779057;57.908331814268;1152.9228684382313;30.216317673666993;0.0;-0.6074009268673097;-0.6337830575461237;-1.0803787409859378;0.16774280600836877
1990-07-15 12:00:00;360.49774355872836;58.91092991758424;1288.9134497585735;31.66490775120617;0.0;-0.6098038627998491;-0.6393544709248682;-1.1416525686010874;0.1676540066324272
1990-07-15 13:00:00;360.3303554859843;57.419447897804645;1388.123041150312;32.98309506542837;0.0;-0.6125049617211258;-0.64446380011499;-1.1826315038308897;0.16755473303679874
1990-07-15 14:00:00;359.4753564176286;55.493937769780445;1444.1582608820215;33.99927784378205;0.0;-0.6154314833354898;-0.6488742977177142;-1.2320953681697877;0.167447818113999
1990-07-15 15:00:00;339.50759315499596;52.661279627767506;1452.1886217305164;34.58219804945611;0.0;-0.6184955681241531;-0.652360018441942;-1.2457707884784743;0.1673365871914821
1990-07-15 16:00:00;297.40413338407717;51.149345343604445;1450.2704715918082;34.742091861737066;0.0;-0.6215968266463584;-0.6556624636233785;-1.2516623714190698;0.1672247376589354
1990-07-15 17:00:00;231.64853413169888;46.834490036297936;1372.277206380221;34.51678096909038;0.0;-0.6247143035537919;-0.6572262154398991;-1.2168929951350924;0.16711303576399972
1990-07-15 18:00:00;145.73169813186277;36.88321203839837;1157.3037329691092;33.67851765530682;0.0;-0.6276829696214746;-0.6554275333809161;-1.122800310489159;0.1670073409289088
1990-07-15 19:00:00;41.56556187368352;6.782623752555239;578.7746174185631;31.890176100520947;0.0;-0.6302009276407545;-0.6446692476339365;-0.8587121542363547;0.16691820360152765
1990-07-15 20:00:00;1.5062957424646306;-10.283464077696875;239.41411582378566;29.32370208934681;0.0;-0.6314651266246666;-0.6381211202671291;-0.7317103972036687;0.1668736254595949
1990-07-15 21:00:00;0.0;-10.127832216392147;192.24973806353486;27.537270304079946;0.0;-0.6319890403966589;-0.6375624074950292;-0.714783540438239;0.16685518539883343
1990-07-15 22:00:00;0.0;-9.220215264055826;158.41044893598365;25.867337453240516;0.0;-0.6324101549501917;-0.6372058539474321;-0.7028462901802175;0.1668403780124454
1990-07-15 23:00:00;0.0;-8.455888881463483;134.57933017679883;24.39339635311876;0.0;-0.6327574216810491;-0.6370051220451378;-0.6946646775127594;0.16682817698163732
1990-07-16 00:00:00;0.0;-7.689436967716629;112.85941435492036;22.828388242194933;0.0;-0.6327574216810491;-0.6365030798423637;-0.6868073662387763;0.16682817698163732
1990-07-16 01:00:00;0.0;-7.199671966090164;94.77196215686318;21.771555310009546;0.0;-0.6330049836750719;-0.6363339902296303;-0.6802714511377347;0.16681948436498867
