;Rg;An;E;Tleaf;irr;psi_soil;psi_collar;psi_leaf;theta_soil
1990-07-30 00:00:00;0.041351976955281776;-1.6948441188051084;5.3866296783227385;13.525925915624125;0.0;-0.6;-0.6015355054178915;-0.616868149907153;0.1680192138953549
1990-07-30 01:00:00;0.04842395653814563;-1.5663015404581961;2.61034986290478;12.391426214146023;0.0;-0.6000192416197585;-0.6013236148557219;-0.6159000913250477;0.16801848949649437
1990-07-30 02:00:00;0.023401788799039897;-1.5621912964480265;1.4621476069132935;12.253564786442587;0.0;-0.6000285663599068;-0.6012372864150513;-0.6154827489138915;0.168018138454268
1990-07-30 03:00:00;0.023401788799039897;-1.5606078126959553;1.207708379574331;12.233744426718053;0.0;-0.6000337895534276;-0.601221177350488;-0.6153911612806579;0.16801794182332608
1990-07-30 04:00:00;0.016668502076351406;-1.546947724914735;0.9039961809715988;12.085738740726836;0.0;-0.6000381038648342;-0.6012001522480415;-0.6152871514627508;0.16801777940960294
1990-07-30 05:00:00;0.030359819485416058;-1.534028620834282;1.5674915552708475;12.009429860741463;0.0;-0.6000413332479698;-0.6012587498931969;-0.6155355980093246;0.16801765783937284
1990-07-30 06:00:00;5.33229146860348;0.3907948012914272;3.017818341371019;12.279657855264372;0.0;-0.6000469329170498;-0.601385101337347;-0.6160711955894872;0.1680174470416799
1990-07-30 07:00:00;53.51076338192;12.871095149358649;33.615986425256246;13.80163306619102;0.0;-0.6000577138909128;-0.6039434756719487;-0.6276861493724248;0.1680170412027179
1990-07-30 08:00:00;115.9744528769625;22.62753966215658;101.03169587488219;15.35672357529096;0.0;-0.600177822089422;-0.6096860089465141;-0.6518265800378731;0.16801252049412158
1990-07-30 09:00:00;179.99633942120704;27.634910281204245;195.00749969919926;17.230263725180855;0.0;-0.600538992325021;-0.6179334043160656;-0.6868269861928747;0.16799893365823718
1990-07-30 10:00:00;226.15517382863592;29.95428686310052;312.065929935959;19.349586451998398;0.0;-0.6012369128256031;-0.6285485448522519;-0.7305584738068314;0.1679727088649901
1990-07-30 11:00:00;240.71039328924996;30.483237200318904;425.1135421830855;21.56232344817022;0.0;-0.6023559855995969;-0.6394008775589854;-0.773831294137116;0.16793074193122864
1990-07-30 12:00:00;227.29545186872144;30.03114362853301;521.7996541542794;23.59912642398585;0.0;-0.6038848325378886;-0.649459195845383;-0.8122251842450856;0.1678735722195497
1990-07-30 13:00:00;215.1350273274498;29.26424826148721;625.8137051768238;25.570138970208912;0.0;-0.6057683341025573;-0.6607111417745679;-0.8538584682125899;0.16780340002172695
1990-07-30 14:00:00;215.0622845402313;29.99988471485857;737.4548260318554;26.93620410934352;0.0;-0.6080374259768111;-0.6732919354494468;-0.8998181686280997;0.16771923984479642
1990-07-30 15:00:00;221.22377106852267;30.240588487767717;796.3447520690415;27.496369190649652;0.0;-0.610725587802486;-0.681924420497667;-0.9261281847737373;0.16762006596107176
1990-07-30 16:00:00;208.49784158844403;30.396003506858385;784.1989412579464;27.386236498780953;0.0;-0.6136458833334626;-0.6845683066010968;-0.9257930315305185;0.16751297239269425
1990-07-30 17:00:00;180.85048596525337;29.178531100957247;717.8117904303055;26.839033646118057;0.0;-0.6165394984826288;-0.682213033858766;-0.9027645377425764;0.16740751211837385
1990-07-30 18:00:00;126.62892729077222;24.99115632807606;541.7170716467775;25.178549835351507;0.0;-0.6192038031938837;-0.6693970271712868;-0.8372260333824162;0.16731097961029298
1990-07-30 19:00:00;36.39809933873843;7.96248378137629;198.66875692023046;22.994252821807468;0.0;-0.6212244671619416;-0.6403547919603046;-0.7107493509146109;0.16723812855903183
1990-07-30 20:00:00;1.8579701122100518;-2.007495874954724;31.847789913813305;20.222847599447466;0.0;-0.6219676830200749;-0.625946879584653;-0.6492013537167727;0.16721141122929872
1990-07-30 21:00:00;0.05548378606241344;-2.2621981432681935;17.242120687905715;17.85935239291684;0.0;-0.6220869330269541;-0.6247409315594553;-0.643713376889209;0.16720712828101758
1990-07-30 22:00:00;0.041351976955281776;-2.022641610982755;11.873880788171224;16.144990244621134;0.0;-0.6221515064278423;-0.6243180434575253;-0.6416703703765707;0.16720480952943917
1990-07-30 23:00:00;0.041351976955281776;-1.8345631179395412;8.037000832831913;14.691473895196452;0.0;-0.622195980347618;-0.624014006732831;-0.6401783770091107;0.16720321270844757
1990-07-31 00:00:00;0.041351976955281776;-1.6672071958040653;4.80202730186996;13.294660150474593;0.0;-0.622195980347618;-0.6237183321734244;-0.6389115543916655;0.16720321270844757
